Codigo;Nombre estacion;Inicio;Fin;Latitud;Longitud;X;Y;Elevacion;Departamento;% de faltantes;Tendencia;Beta;M24;PP media
25027910;La Raya;16/03/1979;31/05/2025;8.340939;-74.557072;4828605.762;2480007.989;31;Bolivar;1.62;No;-0.53;135.59;4637.58
25025230;Montecrisanto;2/11/1974;31/08/2004;8.3;-74.48333333;4836707.359;2475451.141;100;Bolivar;14.85;No;-0.518;154.8;4840.82
23205020;Colegio Cooperativo;10/08/1974;13/08/2025;7.475;-73.92555556;4897914.848;2384085.179;165;Bolivar;7.35;No;-0.615;121.5;2653.75
23115010;Puerto Boyaca;1/09/1974;29/01/2021;5.978333333;-74.56666667;4826659.16;2218841.464;350;Boyacá;19.75;Sí;-0.659;98.05;2206.51
23110040;Trique El;6/08/1974;31/07/2025;5.880888889;-74.56834167;4826443.321;2208070.634;179;Boyacá;4.42;Sí;-0.629;111.44;2420.28
23060150;Puerto Libre;8/08/1974;14/08/2025;5.758093;-74.630157;4819561.724;2194516.186;157;Cundinamarca;3.76;No;-0.654;101.14;2069.59
26130020;Termales;1/05/1971;11/08/2025;4.844166667;-75.55805556;4716382.416;2093808.947;2001;Risaralda;2.15;No;-0.519;81.22;2891.53
26130170;Potreros;1/09/1970;11/08/2025;4.885555556;-75.55805556;4716399.761;2098386.689;2134;Risaralda;1.67;Sí;-0.558;77.07;2412.45
26130180;San Isidro;10/09/1970;29/04/2025;4.800972222;-75.85833333;4683043.872;2089163.427;1196;Risaralda;4.27;No;-0.593;71.44;1902.78
26130200;Recuerdo El;9/09/1970;31/10/2024;4.962416667;-75.74166667;4696063.653;2106969.33;1587;Risaralda;10.94;No;-0.568;87.8;2863.12
26130220;Maracay;14/09/1978;31/05/2025;4.812166667;-75.84305556;4684744.539;2090394.788;1201;Risaralda;1.79;Sí;-0.627;77.58;2016.29
26130540;Playa Rica;4/10/1993;31/07/2025;4.756722222;-75.59719444;4712003.353;2084153.543;1728;Risaralda;2.62;No;-0.533;90.73;3027.01
26130560;Pez Fresco;1/10/1993;11/08/2025;4.732722222;-75.57555556;4714394.572;2081490.045;1875;Risaralda;1.83;Sí;-0.534;94.91;3019.11
26130570;Nuevo Libare;1/09/2004;31/05/2025;4.782055556;-75.64583333;4706616.896;2086976.17;1625;Risaralda;4.82;No;-0.53;89.54;3150.86
26135060;Jazmin El;1/01/1961;31/12/1998;4.916666667;-75.63333333;4708061.82;2101860.128;1600;Risaralda;13.82;No;-0.613;83.99;2558.87
26135070;Cedral El;1/01/1961;31/12/1998;4.783333333;-75.53333333;4719100.229;2087070.427;2120;Risaralda;28.95;No;-0.524;78.92;2680.42
26135100;Bohemia La;1/10/1963;11/08/2025;4.878027778;-75.87755556;4680946.726;2097697.194;995;Risaralda;10.5;No;-0.618;73.62;1908.46
26135110;Veracruz;28/10/1977;24/08/2022;4.87;-75.63;4708411.395;2096696.895;1628;Risaralda;27.7;No;-0.622;84.26;2693.14
26135160;San Remo;1/01/1987;11/08/2025;4.841666667;-75.57997222;4713949.789;2093541.648;1947;Risaralda;13.36;Sí;-0.56;85.37;2793.2
26140030;Maria La;24/02/1965;31/12/1995;5.133333333;-75.95;4673034.392;2125978.9;1480;Risaralda;1.08;No;-0.531;69.77;2309.11
26140080;Taijara Alejandria;1/04/1991;31/07/2025;5.280805556;-75.82583333;4686880.895;2142231.31;1478;Risaralda;1.46;No;-0.607;63.26;1788.86
26140090;Taparcal;1/01/1969;11/08/2025;5.167055556;-75.86277778;4682726.581;2129665.689;1609;Risaralda;3.38;No;-0.602;100.22;2514.89
26140110;San Clemente;11/08/1970;31/05/2025;5.317861111;-75.78766667;4691131.751;2146311.477;2173;Risaralda;13.7;No;-0.514;69.2;2430.07
26140120;Mistrato;1/01/1964;31/07/2025;5.29425;-75.87272222;4681687.929;2143742.527;1483;Risaralda;5.68;No;-0.482;64.28;2067.55
26140180;Virginia La-Alerta;4/04/1979;10/08/2025;4.8925;-75.88277778;4680374.086;2099300.775;922;Risaralda;2.88;Sí;-0.618;79.37;1948.82
26145030;Camelia La;1/10/1963;11/08/2025;5.08;-75.97;4670788.462;2120088.266;1763;Risaralda;20.19;Sí;-0.591;66.53;2007.73
26170250;Irra;1/01/1962;31/08/1985;5.266666667;-75.66666667;4704523.799;2140589.434;785;Risaralda;3.87;No;-0.633;79.26;2097.75
26170260;Guerrerito;14/10/1978;31/05/2025;5.281055556;-75.66497222;4704718.494;2142180.238;797;Risaralda;5.01;No;-0.593;73.65;1877.76
